Какую фамилию носил главный герой поэмы А. Твардовского?;Тёркин;Ложкин;Кружкин;Тяпкин
Что в конце XIX века было основным товаром на Лубянской площади в Москве во время Введенской ярмарки?;Сани;Кони;Лыжи;Коньки
Как называют звезду, которая указала волхвам место рождения Христа?;Вифлеемская;Иерусалимская;Хайфская;Голанская
Где, если верить пословице, любопытной Варваре нос оторвали?;На базаре;На войне;В тюрьме;На лице
Как называют период времени, когда солнце в северных широтах не опускается за горизонт?;Полярный день;Полярная ночь;Полярное утро;Полярный вечер
За чем послала жена мужа в мультфильме "Падал прошлогодний снег"?;За ёлкой;За цветами;За спичками;За шкафом
Где проходила первая "Главная ёлка Страны Советов"?;В Доме союзов;В доме профсоюзов;В доме Советов;В доме на набережной
Какие семьи, по мнению Л. Н. Толстого, похожи друг на друга?;Счастливые;Несчастливые;Молодые;Старые
Какое неофициальное звание получал альпинист, покоривший пять высочайших вершин СССР?;Снежный барс;Снежный лев;Снежный тигр;Снежный волк
Как на Руси называли мелкие льдинки, плавающие на поверхности воды перед ледоставом?;Сало;Мясо;Сливки;Масло
Какое астрономическое явление жители Земли могут наблюдать один раз в 76 лет?;Комета Галлея;Комета Галилея;Комета Гелия;Комета де Голля
К какому семейству птиц относится снегирь?;Вьюрковые;Ваганьковские;Грачиные;Вороновые
Что испанцы съедают в новогоднюю полночь с каждым ударом часов?;Виноградинку;Апельсинку;Мандаринку;Лимонку
В какую одежду принято плакать, чтобы вызвать сочувствие?;В жилетку;В кофту;В свитер;В рубашку
Что в декабре-январе делают молодые олени?;Сбрасывают рога;Чешут рога;Кусают рога;Наставляют рога
Какое прозвище носил король Англии Ричард I?;Львиное Сердце;Глаз тигра;Зуб волка;Титька тараканья
Что в дореволюционной России означала поговорка "Идти под ёлку"?;Идти в кабак;Идти в баню;Идти в суд;Идти лесом
Как называется традиционная народная русская забава "Взятие снежного... "?;Городка;Дворца;Дома;Человека
Чем, по словам Огурцова, героя кинофильма "Карнавальная ночь", не воспитаешь зрителя?;Голыми ногами;Голыми руками;Голым задом;Голой грудью
Как назвал А. Н. Островский свою пьесу в стихах "Снегурочка"?;Весенняя сказка;Зимняя сказка;Летняя сказка;Осенняя сказка
Каким предметом китайцы стараются не пользоваться в преддверии Нового года, чтобы не разрушить счастья?;Нож;Ложка;Вилка;Штопор
Какое советское издательство выпускало сатирический журнал "Крокодил"?;"Правда";"Известия";"Политиздат";"Детская литература"
В честь кого получили своё название Сандуновские бани?;Актёра;Антрепренера;Адвоката;Астронома
Месторасположение какой из этих станций в Антарктиде совпадает с полюсом холода?;"Восток";"Север";"Юг";"Запад"
Как называют манекенщицу супер-класса?;Топ-модель;Вип-модель;Экс-модель;Эскортница
Что в СССР называли "резиновым изделием №2"?;Презерватив;Противогаз;Галоши;Ластик
Как звали невесту Эдмона Дантеса, будущего графа Монте-Кристо?;Мерседес;Мазда;Рено;Лада
Из какого мяса традиционно готовится начинка для чебуреков?;Баранина;Телятина;Свинина;Говядина
Изучение соединений какого элемента является основой органической химии?;Углерод;Водород;Кислород;Азот
Кто открыл тайну трёх карт графине из «Пиковой дамы» А. С. Пушкина?;Сен-Жермен;Лос-Аламос;Кроуч-Энд;Сан-Себастьян
В какой стране была пробурена первая промышленная нефтяная скважина?;Азербайджан;Саудовская Аравия;Ирак;Ливия
Разновидностью какого минерала является горный хрусталь?;Кварц;Гранит;Базальт;Обсидиан
Из какого металла были сделаны ложки в недорогих советских столовых?;Алюминий;Нержавейка;Пластик;Бакелит
Как назывался верховный орган власти в Древнем Риме?;Сенат;Конгресс;Парламент;Курултай
Какая из этих стран не является анклавом?;Люксембург;Ватикан;Сан-Марино;Лесото
Назовите самое континентальное море планеты;Азовское;Черное;Саргасово;Красное
Как называется денежная единица Монголии?;Тугрик;Тенге;Юань;Сом
Какой из этих городов находится в Англии?;Йорк;Белфаст;Глазго;Кардифф
В каком году родился Иван Грозный?;1530;1604;1498;1812
Неофициальным символом какой страны является птица Киви?;Новая Зеландия;Австралия;Тувалу;Вануату
Как до 1664 года назывался город Нью-Йорк?;Новый Амстердам;Новый Париж;Новый Берлин;Новый Лондон
Какая из этих стран находится в Карибском бассейне?;Кюрасао;Кирибати;Фиджи;Сейшельские острова
Какой из этих терминов не является принципом объектно-ориентированного программирования?;Консолидация;Инкапсуляция;Наследование;Полиморфизм
Какое партийное прозвище имел Иосиф Сталин?;Коба;Буба;Батоно;Ираклий
Как называется один из самых знаменитых романов Пауло Коэльо?;Алхимик;Механик;Математик;Стигматик
Как называется сверхконтинент, существовавший в конце палеозоя?;Пангея;Мангазея;Патагония;Лемурия
Назовите фамилию автора картины "Купание красного коня";Петров-Водкин;Иванов-Рюмкин;Сидоров-Бутылкин;Антонов-Овсиенко
Как в романе "12 стульев" называлась краска для волос?;Титаник;Красный Октябрь;Летучий голландец;Седой призрак
Как называется документ,разрешающий археологические раскопки?;Открытый лист;Рабочий мандат;Большой патент;Земельный протокол
Назовите имя брата Шерлока Холмса;Майкрофт;Беримор;Вильям;Артур